nome;cpf;sexo;data_nasc;telefone;email;;;;;
Natália Pinheiro;380.935.302-35;F;1950-02-22;(52)0709-4399;natália_pinheiro@locamail.com;;;;;
Maria de Andrade;671.406.883-91;M;1976-07-26;(78)3481-3768;maria_de_andrade@locamail.com;;;;;
Fábio Farias;772.088.511-97;F;1976-08-21;(42)0875-7977;fábio_farias@locamail.com;;;;;
Priscila da Silva;569.733.333-53;M;1991-06-26;(53)7538-1545;priscila_da_silva@locamail.com;;;;;
Mateus França;237.690.504-80;F;1998-09-03;(35)1094-4285;mateus_frança@locamail.com;;;;;
Edson Júnior;214.886.894-99;M;1974-06-04;(50)8593-1509;edson_júnior@locamail.com;;;;;
Sofia Aguiar;580.664.199-07;F;1977-11-26;(50)3728-0371;sofia_aguiar@locamail.com;;;;;
Davi de Moura;074.976.731-36;F;1995-10-06;(72)7875-2282;davi_de_moura@locamail.com;;;;;
Cícero do Nascimento;576.978.442-17;M;1991-06-06;(85)8538-1662;cícero_do_nascimento@locamail.com;;;;;
Renato Marques;709.282.207-75;M;2000-04-29;(12)5676-5611;renato_marques@locamail.com;;;;;
Lucas Queiroz;541.966.216-66;F;1956-10-06;(71)6527-7096;lucas_queiroz@locamail.com;;;;;
Elias Batista;734.379.764-49;M;1981-12-08;(67)4703-9916;elias_batista@locamail.com;;;;;
Fabiana da Conceição;409.830.460-72;M;1987-06-04;(70)6280-4704;fabiana_da_conceição@locamail.com;;;;;
Igor Barbosa;834.524.900-69;F;1975-05-24;(09)9772-1962;igor_barbosa@locamail.com;;;;;
Marlene Moreira;640.677.878-58;M;1953-12-20;(45)0743-9006;marlene_moreira@locamail.com;;;;;
Diego de Jesus;890.946.950-58;F;1988-08-14;(07)4370-6703;diego_de_jesus@locamail.com;;;;;
Vitor de Matos;892.783.065-25;M;1959-07-04;(90)8240-6582;vitor_de_matos@locamail.com;;;;;
Henrique da Conceição;568.456.817-81;F;1995-10-25;(25)0375-8529;henrique_da_conceição@locamail.com;;;;;
Artur Dias;138.379.505-58;M;1989-12-25;(72)2890-0241;artur_dias@locamail.com;;;;;
Alice Braga;198.023.920-48;M;1967-04-19;(39)3062-1878;alice_braga@locamail.com;;;;;
Alex Mota;511.856.589-55;F;1946-04-06;(79)0526-2604;alex_mota@locamail.com;;;;;
Vanessa Cordeiro;295.550.769-53;F;1954-10-22;(16)0530-5204;vanessa_cordeiro@locamail.com;;;;;
Nicolas Neto;466.465.879-59;M;1993-05-27;(43)5104-8934;nicolas_neto@locamail.com;;;;;
Diego Siqueira;944.559.402-33;F;1997-03-02;(89)8307-1837;diego_siqueira@locamail.com;;;;;
Juliana Filho;765.906.890-27;M;1962-07-13;(47)0273-2890;juliana_filho@locamail.com;;;;;
Vanessa Tavares;952.068.967-19;F;1950-08-19;(29)1264-1416;vanessa_tavares@locamail.com;;;;;
Cristiano Pereira;445.544.668-40;M;1950-01-28;(27)0785-7611;cristiano_pereira@locamail.com;;;;;
Jéssica Borges;296.149.822-62;F;1967-12-08;(15)2006-1241;jéssica_borges@locamail.com;;;;;
Geraldo Alves;939.462.275-48;M;1989-10-08;(15)3620-8132;geraldo_alves@locamail.com;;;;;
Eduardo Cardoso;964.731.833-44;F;1976-06-17;(54)1536-0342;eduardo_cardoso@locamail.com;;;;;
André de Souza;455.779.066-18;M;1977-05-12;(43)5563-1111;andré_de_souza@locamail.com;;;;;
Diego Amorim;821.801.027-29;F;1945-02-02;(10)7980-3227;diego_amorim@locamail.com;;;;;
Renata da Rocha;413.702.666-17;F;1975-11-26;(17)5028-8903;renata_da_rocha@locamail.com;;;;;
Raimundo Corrêa;428.526.034-83;M;1973-10-27;(52)1018-2590;raimundo_corrêa@locamail.com;;;;;
